id,title,industry_code,phase_code,industry_code_isic,industry_code_isic_tag
6599,Control Matrix,,,62,"62 Computer programming, consultancy and related activities"
6600,Audit Trail Log,,,49,49 Land transport; transport via pipelines
6601,Data Migration Strategy,,,62,"62 Computer programming, consultancy and related activities"
6602,Archive Strategy Document,,,91,91
6603,Sunset Communication Plan,,,62,"62 Computer programming, consultancy and related activities"
6604,Dependency Impact Analysis,,,71,71_Arch_And
6605,Decommissioning Checklist,,,86,86 Human health activities
6606,Historical Data Retention Policy,,,65,65_Insu
6607,Business Continuity Plan (BCP),,,82,82_Offi_Admi
6608,Recovery Point Objective (RPO) Definition,,,38,38_Wast_Coll
6609,Recovery Time Objective (RTO) Definition,,,38,38_Wast_Coll
6610,Failover Procedures,,,62,62
6611,DR Test Report,,,50,50
6612,Crisis Communication Plan,,,86,86 Human health activities
6613,Backup Verification Checklist,,,86,86 Human health activities
6614,Change Advisory Board (CAB) Notes,,,62,"62 Computer programming, consultancy and related activities"
6615,Change Calendar,,,62,"62 Computer programming, consultancy and related activities"
6616,Change Impact Assessment,,,62,"62 Computer programming, consultancy and related activities"
6617,Rollback Plan Template,,,62,"62 Computer programming, consultancy and related activities"
6618,Emergency Change Procedure,,,62,"62 Computer programming, consultancy and related activities"
6619,Change Success Criteria,,,62,"62 Computer programming, consultancy and related activities"
6620,Growth Projections,,,62,"62 Computer programming, consultancy and related activities"
6621,Resource Allocation Plan,,,62,"62 Computer programming, consultancy and related activities"
6622,Scalability Assessment,,,62,"62 Computer programming, consultancy and related activities"
6623,Performance Baseline,,,52,52_Ware_And
6624,Capacity Threshold Alerts,,,78,78
6625,Infrastructure Sizing Guide,,,42,42
6670,User Onboarding Experience,,,98,98_Undi_Good
6675,Performance Testing,,,52,52_Ware_And
6749,Scalability Testing,,,71,71_Arch_And
6772,Performance Requirements,,,52,52_Ware_And
6841,Latency Requirements,38,2,62,"62 Computer programming, consultancy and related activities"
6848,State Management Design,38,3,39,39_Reme_Acti
6883,Data Quality Report,38,14,50,50
6894,Performance Requirements,39,2,52,52_Ware_And
6912,Performance Testing,39,6,52,52_Ware_And
6927,User Engagement Metrics,39,11,98,98_Undi_Good
6935,User Onboarding Experience,39,13,98,98_Undi_Good
6956,Integration Requirements,40,2,62,"62 Computer programming, consultancy and related activities"
7040,Performance Testing,41,6,52,52_Ware_And
7060,Data Quality Monitoring,41,11,62,62
7089,Latency Requirements,42,2,62,"62 Computer programming, consultancy and related activities"
7117,API Gateway Setup,42,8,62,"62 Computer programming, consultancy and related activities"
7135,API Documentation,42,12,62,"62 Computer programming, consultancy and related activities"
7156,Latency Requirements,43,2,62,"62 Computer programming, consultancy and related activities"
7159,Scalability Requirements,43,2,62,"62 Computer programming, consultancy and related activities"
7164,State Management Design,43,3,39,39_Reme_Acti
7169,Capacity Planning,43,4,84,84 Public administration and defence; compulsory social security
7177,Monitoring Infrastructure Setup,43,5,62,62
7184,Encryption Implementation,43,7,62,"62 Computer programming, consultancy and related activities"
7209,API Documentation,43,12,62,"62 Computer programming, consultancy and related activities"
7233,Scalability Requirements,44,2,62,"62 Computer programming, consultancy and related activities"
7254,Performance Testing,44,6,52,52_Ware_And
7255,Scalability Testing,44,6,71,71_Arch_And
7309,Performance Requirements,45,2,52,52_Ware_And
7331,Performance Testing,45,6,52,52_Ware_And
7372,Budget Proposal Template,,17,47,47
7373,Cost-Benefit Analysis (CBA),,17,71,71_Arch_And
7374,Total Cost of Ownership (TCO),,17,98,98_Undi_Good
7375,CapEx/OpEx Planning,,17,62,"62 Computer programming, consultancy and related activities"
7376,ROI Projections,,17,62,"62 Computer programming, consultancy and related activities"
7377,Cost Tracking Report,,17,50,50
7378,Change Request Form (RFC),,22,52,52_Ware_And
7379,Change Advisory Board (CAB) Notes,,22,62,"62 Computer programming, consultancy and related activities"
7380,Change Calendar,,22,62,"62 Computer programming, consultancy and related activities"
7381,Change Impact Assessment,,22,62,"62 Computer programming, consultancy and related activities"
7382,Rollback Plan Template,,22,62,"62 Computer programming, consultancy and related activities"
7383,Emergency Change Procedure,,22,62,"62 Computer programming, consultancy and related activities"
7384,Change Success Criteria,,22,62,"62 Computer programming, consultancy and related activities"
7385,Capacity Forecast Report,,23,52,52_Ware_And
7386,Growth Projections,,23,62,"62 Computer programming, consultancy and related activities"
7387,Resource Allocation Plan,,23,62,"62 Computer programming, consultancy and related activities"
7388,Scalability Assessment,,23,62,"62 Computer programming, consultancy and related activities"
7389,Performance Baseline,,23,52,52_Ware_And
7390,Capacity Threshold Alerts,,23,78,78
7391,Infrastructure Sizing Guide,,23,42,42
7392,System Retirement Plan,,20,62,"62 Computer programming, consultancy and related activities"
7393,Data Migration Strategy,,20,62,"62 Computer programming, consultancy and related activities"
7394,Archive Strategy Document,,20,91,91
7395,Sunset Communication Plan,,20,62,"62 Computer programming, consultancy and related activities"
7396,Dependency Impact Analysis,,20,71,71_Arch_And
7397,Decommissioning Checklist,,20,86,86 Human health activities
7398,Historical Data Retention Policy,,20,65,65_Insu
7399,Disaster Recovery Plan (DRP),,21,38,38_Wast_Coll
7400,Business Continuity Plan (BCP),,21,82,82_Offi_Admi
7401,Recovery Point Objective (RPO) Definition,,21,38,38_Wast_Coll
7402,Recovery Time Objective (RTO) Definition,,21,38,38_Wast_Coll
7403,Failover Procedures,,21,62,62
7404,DR Test Report,,21,50,50
7405,Crisis Communication Plan,,21,86,86 Human health activities
7406,Backup Verification Checklist,,21,86,86 Human health activities
7407,Audit Checklist,,19,86,86 Human health activities
7408,Compliance Report Template,,19,69,69
7409,Policy Review Record,,19,65,65_Insu
7410,Certification Documentation,,19,62,"62 Computer programming, consultancy and related activities"
7411,Risk Register,,19,71,71
7412,Control Matrix,,19,62,"62 Computer programming, consultancy and related activities"
7413,Audit Trail Log,,19,49,49 Land transport; transport via pipelines
7414,Request for Proposal (RFP),,18,52,52_Ware_And
7415,Request for Information (RFI),,18,52,52_Ware_And
7416,Vendor Evaluation Matrix,,18,62,"62 Computer programming, consultancy and related activities"
7417,Contract Template,,18,62,"62 Computer programming, consultancy and related activities"
7418,SLA Agreement Template,,18,62,"62 Computer programming, consultancy and related activities"
7419,Vendor Risk Assessment,,18,64,64
7420,Procurement Checklist,,18,86,86 Human health activities
7426,Performance Requirements,46,P02,52,52_Ware_And
7449,Performance Testing,46,P06,52,52_Ware_And
7463,Performance Tuning Guide,46,P09,52,52_Ware_And
7467,Performance Degradation Response,46,P10,52,52_Ware_And
7492,Budget Proposal Template,46,P17,47,47
7493,Cost-Benefit Analysis (CBA),46,P17,71,71_Arch_And
7494,Total Cost of Ownership (TCO),46,P17,98,98_Undi_Good
7495,CapEx/OpEx Planning,46,P17,62,"62 Computer programming, consultancy and related activities"
7496,ROI Projections,46,P17,62,"62 Computer programming, consultancy and related activities"
7497,Cost Tracking Report,46,P17,50,50
7498,Request for Proposal (RFP),46,P18,52,52_Ware_And
7499,Request for Information (RFI),46,P18,52,52_Ware_And
7500,Vendor Evaluation Matrix,46,P18,62,"62 Computer programming, consultancy and related activities"
7501,Contract Template,46,P18,62,"62 Computer programming, consultancy and related activities"
7502,SLA Agreement Template,46,P18,62,"62 Computer programming, consultancy and related activities"
7503,Vendor Risk Assessment,46,P18,64,64
7504,Procurement Checklist,46,P18,86,86 Human health activities
7505,Audit Checklist,46,P19,86,86 Human health activities
7506,Compliance Report Template,46,P19,69,69
7507,Policy Review Record,46,P19,65,65_Insu
7508,Certification Documentation,46,P19,62,"62 Computer programming, consultancy and related activities"
7509,Risk Register,46,P19,71,71
7510,Control Matrix,46,P19,62,"62 Computer programming, consultancy and related activities"
7511,Audit Trail Log,46,P19,49,49 Land transport; transport via pipelines
7512,System Retirement Plan,46,P20,62,"62 Computer programming, consultancy and related activities"
7513,Data Migration Strategy,46,P20,62,"62 Computer programming, consultancy and related activities"
7514,Archive Strategy Document,46,P20,91,91
7515,Sunset Communication Plan,46,P20,62,"62 Computer programming, consultancy and related activities"
7516,Dependency Impact Analysis,46,P20,71,71_Arch_And
7517,Decommissioning Checklist,46,P20,86,86 Human health activities
7518,Historical Data Retention Policy,46,P20,65,65_Insu
7519,Disaster Recovery Plan (DRP),46,P21,38,38_Wast_Coll
7520,Business Continuity Plan (BCP),46,P21,82,82_Offi_Admi
7521,Recovery Point Objective (RPO) Definition,46,P21,38,38_Wast_Coll
7522,Recovery Time Objective (RTO) Definition,46,P21,38,38_Wast_Coll
7523,Failover Procedures,46,P21,62,62
7524,DR Test Report,46,P21,50,50
7525,Crisis Communication Plan,46,P21,86,86 Human health activities
7526,Backup Verification Checklist,46,P21,86,86 Human health activities
7527,Change Request Form (RFC),46,P22,52,52_Ware_And
7528,Change Advisory Board (CAB) Notes,46,P22,62,"62 Computer programming, consultancy and related activities"
7529,Change Calendar,46,P22,62,"62 Computer programming, consultancy and related activities"
7530,Change Impact Assessment,46,P22,62,"62 Computer programming, consultancy and related activities"
7531,Rollback Plan Template,46,P22,62,"62 Computer programming, consultancy and related activities"
7532,Emergency Change Procedure,46,P22,62,"62 Computer programming, consultancy and related activities"
7533,Change Success Criteria,46,P22,62,"62 Computer programming, consultancy and related activities"
7534,Capacity Forecast Report,46,P23,52,52_Ware_And
7535,Growth Projections,46,P23,62,"62 Computer programming, consultancy and related activities"
7536,Resource Allocation Plan,46,P23,62,"62 Computer programming, consultancy and related activities"
7537,Scalability Assessment,46,P23,62,"62 Computer programming, consultancy and related activities"
7538,Performance Baseline,46,P23,52,52_Ware_And
7539,Capacity Threshold Alerts,46,P23,78,78
7540,Infrastructure Sizing Guide,46,P23,42,42
7544,Performance Requirements,47,P02,52,52_Ware_And
7546,Latency Requirements,47,P02,62,"62 Computer programming, consultancy and related activities"
7548,Scalability Requirements,47,P02,62,"62 Computer programming, consultancy and related activities"
7563,Load Testing,47,P06,71,71_Arch_And
7577,Query Optimization Procedure,47,P09,62,"62 Computer programming, consultancy and related activities"
7578,Performance Degradation Response,47,P10,52,52_Ware_And
7596,Capacity Planning Report,47,P14,50,50
7603,Performance Improvement Plan,47,P16,52,52_Ware_And
7604,Budget Proposal Template,47,P17,47,47
7605,Cost-Benefit Analysis (CBA),47,P17,71,71_Arch_And
7606,Total Cost of Ownership (TCO),47,P17,98,98_Undi_Good
7607,CapEx/OpEx Planning,47,P17,62,"62 Computer programming, consultancy and related activities"
7608,ROI Projections,47,P17,62,"62 Computer programming, consultancy and related activities"
7609,Cost Tracking Report,47,P17,50,50
7610,Request for Proposal (RFP),47,P18,52,52_Ware_And
7611,Request for Information (RFI),47,P18,52,52_Ware_And
7612,Vendor Evaluation Matrix,47,P18,62,"62 Computer programming, consultancy and related activities"
7613,Contract Template,47,P18,62,"62 Computer programming, consultancy and related activities"
7614,SLA Agreement Template,47,P18,62,"62 Computer programming, consultancy and related activities"
7615,Vendor Risk Assessment,47,P18,64,64
7616,Procurement Checklist,47,P18,86,86 Human health activities
7617,Audit Checklist,47,P19,86,86 Human health activities
7618,Compliance Report Template,47,P19,69,69
7619,Policy Review Record,47,P19,65,65_Insu
7620,Certification Documentation,47,P19,62,"62 Computer programming, consultancy and related activities"
7621,Risk Register,47,P19,71,71
7622,Control Matrix,47,P19,62,"62 Computer programming, consultancy and related activities"
7623,Audit Trail Log,47,P19,49,49 Land transport; transport via pipelines
7624,System Retirement Plan,47,P20,62,"62 Computer programming, consultancy and related activities"
7625,Data Migration Strategy,47,P20,62,"62 Computer programming, consultancy and related activities"
7626,Archive Strategy Document,47,P20,91,91
7627,Sunset Communication Plan,47,P20,62,"62 Computer programming, consultancy and related activities"
7628,Dependency Impact Analysis,47,P20,71,71_Arch_And
7629,Decommissioning Checklist,47,P20,86,86 Human health activities
7630,Historical Data Retention Policy,47,P20,65,65_Insu
7631,Disaster Recovery Plan (DRP),47,P21,38,38_Wast_Coll
7632,Business Continuity Plan (BCP),47,P21,82,82_Offi_Admi
7633,Recovery Point Objective (RPO) Definition,47,P21,38,38_Wast_Coll
7634,Recovery Time Objective (RTO) Definition,47,P21,38,38_Wast_Coll
7635,Failover Procedures,47,P21,62,62
7636,DR Test Report,47,P21,50,50
7637,Crisis Communication Plan,47,P21,86,86 Human health activities
7638,Backup Verification Checklist,47,P21,86,86 Human health activities
7639,Change Request Form (RFC),47,P22,52,52_Ware_And
7640,Change Advisory Board (CAB) Notes,47,P22,62,"62 Computer programming, consultancy and related activities"
7641,Change Calendar,47,P22,62,"62 Computer programming, consultancy and related activities"
7642,Change Impact Assessment,47,P22,62,"62 Computer programming, consultancy and related activities"
7643,Rollback Plan Template,47,P22,62,"62 Computer programming, consultancy and related activities"
7644,Emergency Change Procedure,47,P22,62,"62 Computer programming, consultancy and related activities"
7645,Change Success Criteria,47,P22,62,"62 Computer programming, consultancy and related activities"
7646,Capacity Forecast Report,47,P23,52,52_Ware_And
7647,Growth Projections,47,P23,62,"62 Computer programming, consultancy and related activities"
7648,Resource Allocation Plan,47,P23,62,"62 Computer programming, consultancy and related activities"
7649,Scalability Assessment,47,P23,62,"62 Computer programming, consultancy and related activities"
7650,Performance Baseline,47,P23,52,52_Ware_And
7651,Capacity Threshold Alerts,47,P23,78,78
7652,Infrastructure Sizing Guide,47,P23,42,42
7703,Accessibility Guidelines,48,P12,62,"62 Computer programming, consultancy and related activities"
7723,Budget Proposal Template,48,P17,47,47
7724,Cost-Benefit Analysis (CBA),48,P17,71,71_Arch_And
7725,Total Cost of Ownership (TCO),48,P17,98,98_Undi_Good
7726,CapEx/OpEx Planning,48,P17,62,"62 Computer programming, consultancy and related activities"
7727,ROI Projections,48,P17,62,"62 Computer programming, consultancy and related activities"
7728,Cost Tracking Report,48,P17,50,50
7729,Request for Proposal (RFP),48,P18,52,52_Ware_And
7730,Request for Information (RFI),48,P18,52,52_Ware_And
7731,Vendor Evaluation Matrix,48,P18,62,"62 Computer programming, consultancy and related activities"
7732,Contract Template,48,P18,62,"62 Computer programming, consultancy and related activities"
7733,SLA Agreement Template,48,P18,62,"62 Computer programming, consultancy and related activities"
7734,Vendor Risk Assessment,48,P18,64,64
7735,Procurement Checklist,48,P18,86,86 Human health activities
7736,Audit Checklist,48,P19,86,86 Human health activities
7737,Compliance Report Template,48,P19,69,69
7738,Policy Review Record,48,P19,65,65_Insu
7739,Certification Documentation,48,P19,62,"62 Computer programming, consultancy and related activities"
7740,Risk Register,48,P19,71,71
7741,Control Matrix,48,P19,62,"62 Computer programming, consultancy and related activities"
7742,Audit Trail Log,48,P19,49,49 Land transport; transport via pipelines
7743,System Retirement Plan,48,P20,62,"62 Computer programming, consultancy and related activities"
7744,Data Migration Strategy,48,P20,62,"62 Computer programming, consultancy and related activities"
7745,Archive Strategy Document,48,P20,91,91
7746,Sunset Communication Plan,48,P20,62,"62 Computer programming, consultancy and related activities"
7747,Dependency Impact Analysis,48,P20,71,71_Arch_And
7748,Decommissioning Checklist,48,P20,86,86 Human health activities
7749,Historical Data Retention Policy,48,P20,65,65_Insu
7750,Disaster Recovery Plan (DRP),48,P21,38,38_Wast_Coll
7751,Business Continuity Plan (BCP),48,P21,82,82_Offi_Admi
7752,Recovery Point Objective (RPO) Definition,48,P21,38,38_Wast_Coll
7753,Recovery Time Objective (RTO) Definition,48,P21,38,38_Wast_Coll
7754,Failover Procedures,48,P21,62,62
7755,DR Test Report,48,P21,50,50
7756,Crisis Communication Plan,48,P21,86,86 Human health activities
7757,Backup Verification Checklist,48,P21,86,86 Human health activities
7758,Change Request Form (RFC),48,P22,52,52_Ware_And
7759,Change Advisory Board (CAB) Notes,48,P22,62,"62 Computer programming, consultancy and related activities"
7760,Change Calendar,48,P22,62,"62 Computer programming, consultancy and related activities"
7761,Change Impact Assessment,48,P22,62,"62 Computer programming, consultancy and related activities"
7762,Rollback Plan Template,48,P22,62,"62 Computer programming, consultancy and related activities"
7763,Emergency Change Procedure,48,P22,62,"62 Computer programming, consultancy and related activities"
7764,Change Success Criteria,48,P22,62,"62 Computer programming, consultancy and related activities"
7765,Capacity Forecast Report,48,P23,52,52_Ware_And
7766,Growth Projections,48,P23,62,"62 Computer programming, consultancy and related activities"
7767,Resource Allocation Plan,48,P23,62,"62 Computer programming, consultancy and related activities"
7768,Scalability Assessment,48,P23,62,"62 Computer programming, consultancy and related activities"
7769,Performance Baseline,48,P23,52,52_Ware_And
7770,Capacity Threshold Alerts,48,P23,78,78
7771,Infrastructure Sizing Guide,48,P23,42,42
7792,Migration Strategy,49,P04,62,"62 Computer programming, consultancy and related activities"
7794,API Gateway Setup,49,P05,62,"62 Computer programming, consultancy and related activities"
7806,Performance Testing,49,P06,52,52_Ware_And
7807,Failover Testing,49,P06,71,71_Arch_And
7851,Budget Proposal Template,49,P17,47,47
7852,Cost-Benefit Analysis (CBA),49,P17,71,71_Arch_And
7853,Total Cost of Ownership (TCO),49,P17,98,98_Undi_Good
7854,CapEx/OpEx Planning,49,P17,62,"62 Computer programming, consultancy and related activities"
7855,ROI Projections,49,P17,62,"62 Computer programming, consultancy and related activities"
7856,Cost Tracking Report,49,P17,50,50
7857,Request for Proposal (RFP),49,P18,52,52_Ware_And
7858,Request for Information (RFI),49,P18,52,52_Ware_And
7859,Vendor Evaluation Matrix,49,P18,62,"62 Computer programming, consultancy and related activities"
7860,Contract Template,49,P18,62,"62 Computer programming, consultancy and related activities"
7861,SLA Agreement Template,49,P18,62,"62 Computer programming, consultancy and related activities"
7862,Vendor Risk Assessment,49,P18,64,64
7863,Procurement Checklist,49,P18,86,86 Human health activities
7864,Audit Checklist,49,P19,86,86 Human health activities
7865,Compliance Report Template,49,P19,69,69
7866,Policy Review Record,49,P19,65,65_Insu
7867,Certification Documentation,49,P19,62,"62 Computer programming, consultancy and related activities"
7868,Risk Register,49,P19,71,71
7869,Control Matrix,49,P19,62,"62 Computer programming, consultancy and related activities"
7870,Audit Trail Log,49,P19,49,49 Land transport; transport via pipelines
7871,System Retirement Plan,49,P20,62,"62 Computer programming, consultancy and related activities"
7872,Data Migration Strategy,49,P20,62,"62 Computer programming, consultancy and related activities"
7873,Archive Strategy Document,49,P20,91,91
7874,Sunset Communication Plan,49,P20,62,"62 Computer programming, consultancy and related activities"
7875,Dependency Impact Analysis,49,P20,71,71_Arch_And
7876,Decommissioning Checklist,49,P20,86,86 Human health activities
7877,Historical Data Retention Policy,49,P20,65,65_Insu
7878,Disaster Recovery Plan (DRP),49,P21,38,38_Wast_Coll
7879,Business Continuity Plan (BCP),49,P21,82,82_Offi_Admi
7880,Recovery Point Objective (RPO) Definition,49,P21,38,38_Wast_Coll
7881,Recovery Time Objective (RTO) Definition,49,P21,38,38_Wast_Coll
7882,Failover Procedures,49,P21,62,62
7883,DR Test Report,49,P21,50,50
7884,Crisis Communication Plan,49,P21,86,86 Human health activities
7885,Backup Verification Checklist,49,P21,86,86 Human health activities
7886,Change Request Form (RFC),49,P22,52,52_Ware_And
7887,Change Advisory Board (CAB) Notes,49,P22,62,"62 Computer programming, consultancy and related activities"
7888,Change Calendar,49,P22,62,"62 Computer programming, consultancy and related activities"
7889,Change Impact Assessment,49,P22,62,"62 Computer programming, consultancy and related activities"
7890,Rollback Plan Template,49,P22,62,"62 Computer programming, consultancy and related activities"
7891,Emergency Change Procedure,49,P22,62,"62 Computer programming, consultancy and related activities"
7892,Change Success Criteria,49,P22,62,"62 Computer programming, consultancy and related activities"
7893,Capacity Forecast Report,49,P23,52,52_Ware_And
7894,Growth Projections,49,P23,62,"62 Computer programming, consultancy and related activities"
7895,Resource Allocation Plan,49,P23,62,"62 Computer programming, consultancy and related activities"
7896,Scalability Assessment,49,P23,62,"62 Computer programming, consultancy and related activities"
7897,Performance Baseline,49,P23,52,52_Ware_And
7898,Capacity Threshold Alerts,49,P23,78,78
7899,Infrastructure Sizing Guide,49,P23,42,42
7910,Compliance Requirements,50,P02,69,69
7938,Security Testing,50,P06,62,62_Comp_Prog
7940,Access Control Review,50,P07,62,"62 Computer programming, consultancy and related activities"
7970,API Documentation,50,P12,62,"62 Computer programming, consultancy and related activities"
7987,Budget Proposal Template,50,P17,47,47
7988,Cost-Benefit Analysis (CBA),50,P17,71,71_Arch_And
7989,Total Cost of Ownership (TCO),50,P17,98,98_Undi_Good
7990,CapEx/OpEx Planning,50,P17,62,"62 Computer programming, consultancy and related activities"
7991,ROI Projections,50,P17,62,"62 Computer programming, consultancy and related activities"
7992,Cost Tracking Report,50,P17,50,50
7993,Request for Proposal (RFP),50,P18,52,52_Ware_And
7994,Request for Information (RFI),50,P18,52,52_Ware_And
7995,Vendor Evaluation Matrix,50,P18,62,"62 Computer programming, consultancy and related activities"
7996,Contract Template,50,P18,62,"62 Computer programming, consultancy and related activities"
7997,SLA Agreement Template,50,P18,62,"62 Computer programming, consultancy and related activities"
7998,Vendor Risk Assessment,50,P18,64,64
7999,Procurement Checklist,50,P18,86,86 Human health activities
8000,Audit Checklist,50,P19,86,86 Human health activities
8001,Compliance Report Template,50,P19,69,69
8002,Policy Review Record,50,P19,65,65_Insu
8003,Certification Documentation,50,P19,62,"62 Computer programming, consultancy and related activities"
8004,Risk Register,50,P19,71,71
8005,Control Matrix,50,P19,62,"62 Computer programming, consultancy and related activities"
8006,Audit Trail Log,50,P19,49,49 Land transport; transport via pipelines
8007,System Retirement Plan,50,P20,62,"62 Computer programming, consultancy and related activities"
8008,Data Migration Strategy,50,P20,62,"62 Computer programming, consultancy and related activities"
8009,Archive Strategy Document,50,P20,91,91
8010,Sunset Communication Plan,50,P20,62,"62 Computer programming, consultancy and related activities"
8011,Dependency Impact Analysis,50,P20,71,71_Arch_And
8012,Decommissioning Checklist,50,P20,86,86 Human health activities
8013,Historical Data Retention Policy,50,P20,65,65_Insu
8014,Disaster Recovery Plan (DRP),50,P21,38,38_Wast_Coll
8015,Business Continuity Plan (BCP),50,P21,82,82_Offi_Admi
8016,Recovery Point Objective (RPO) Definition,50,P21,38,38_Wast_Coll
8017,Recovery Time Objective (RTO) Definition,50,P21,38,38_Wast_Coll
8018,Failover Procedures,50,P21,62,62
8019,DR Test Report,50,P21,50,50
8020,Crisis Communication Plan,50,P21,86,86 Human health activities
8021,Backup Verification Checklist,50,P21,86,86 Human health activities
8022,Change Request Form (RFC),50,P22,52,52_Ware_And
8023,Change Advisory Board (CAB) Notes,50,P22,62,"62 Computer programming, consultancy and related activities"
8024,Change Calendar,50,P22,62,"62 Computer programming, consultancy and related activities"
8025,Change Impact Assessment,50,P22,62,"62 Computer programming, consultancy and related activities"
8026,Rollback Plan Template,50,P22,62,"62 Computer programming, consultancy and related activities"
8027,Emergency Change Procedure,50,P22,62,"62 Computer programming, consultancy and related activities"
8028,Change Success Criteria,50,P22,62,"62 Computer programming, consultancy and related activities"
8029,Capacity Forecast Report,50,P23,52,52_Ware_And
8030,Growth Projections,50,P23,62,"62 Computer programming, consultancy and related activities"
8031,Resource Allocation Plan,50,P23,62,"62 Computer programming, consultancy and related activities"
8032,Scalability Assessment,50,P23,62,"62 Computer programming, consultancy and related activities"
8033,Performance Baseline,50,P23,52,52_Ware_And
8034,Capacity Threshold Alerts,50,P23,78,78
8035,Infrastructure Sizing Guide,50,P23,42,42
8038,Competitive Analysis,51,P01,71,71_Arch_And
8080,Load Testing,51,P06,71,71_Arch_And
8115,API Documentation,51,P12,62,"62 Computer programming, consultancy and related activities"
8135,Budget Proposal Template,51,P17,47,47
8136,Cost-Benefit Analysis (CBA),51,P17,71,71_Arch_And
8137,Total Cost of Ownership (TCO),51,P17,98,98_Undi_Good
8138,CapEx/OpEx Planning,51,P17,62,"62 Computer programming, consultancy and related activities"
8139,ROI Projections,51,P17,62,"62 Computer programming, consultancy and related activities"
